gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,Churn,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,IsNewCustomer,IsLongTermCustomer,AvgMonthlyCharge,TotalServices
1,0,0,1,3.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,68.61,1
1,1,1,0,2.0,1,2,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,23.15,2
0,0,0,0,42.0,1,2,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,42.63,4
0,0,0,1,40.0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,75.03999999999999,2
1,1,1,1,17.0,1,1,2,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,22.38,3
1,0,1,0,18.0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,37.23,2
0,0,0,0,25.0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,67.47,1
0,0,1,0,33.0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,76.3,1
0,0,1,0,6.0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,64.86,2
0,0,0,0,18.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,49.17,1
1,0,1,0,22.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,23.2,1
0,1,1,0,10.0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,34.57,2
1,0,1,0,2.0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,48.36,1
1,0,1,0,8.0,1,2,2,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,53.36,3
0,0,0,0,5.0,0,0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,39.14,3
0,0,1,0,47.0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,38.42,1
0,0,1,0,28.0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,99.53,1
0,0,1,0,44.0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,22.64,2
1,0,1,1,12.0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,114.145,1
0,0,0,0,38.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,61.27,1
1,0,1,0,21.0,1,2,2,1,0,0,1,0,0,2,1,1,1,0,0,0,0,0,36.96,3
1,0,0,0,4.0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,42.01,4
1,0,1,0,16.0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,114.145,2
1,1,0,0,29.0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,111.0,3
1,0,0,0,5.0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,43.36,1
0,0,0,0,51.0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,100.42,2
0,0,0,0,15.0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,68.06,1
1,0,1,0,10.0,1,1,2,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,114.145,3
0,1,0,0,9.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24.62,1
1,0,0,0,23.0,1,1,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,49.92,2
0,0,0,1,43.0,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,77.96000000000001,2
1,1,1,0,34.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,21.07,1
0,0,0,1,6.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,99.14,3
0,0,0,1,31.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,85.96000000000001,1
1,0,1,1,31.0,1,2,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,45.99,3
0,0,1,1,19.0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,23.12,1
1,0,0,0,45.0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,37.07,1
1,0,0,1,29.0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,35.99,2
0,0,1,1,17.0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,114.145,2
0,0,1,1,2.0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,44.4,3
0,0,0,0,42.0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,18.33,1
0,0,0,0,29.0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,50.0,3
0,0,0,0,8.0,1,2,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,48.06,4
0,0,0,1,7.0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,102.27,1
0,0,0,1,17.0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,96.78,3
1,0,1,1,25.0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,20.99,1
1,0,0,1,16.0,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,79.64,3
0,0,0,1,2.0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.05,1
1,0,0,0,31.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,31.16,1
1,1,1,1,65.0,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,28.35,4
0,1,0,0,14.0,1,2,2,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,114.145,4
0,0,0,0,45.0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21.97,1
1,0,0,0,10.0,1,1,2,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,20.05,1
1,0,1,0,19.0,1,2,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,26.62,4
0,0,1,0,43.0,1,2,2,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,32.0,2
